school id,school type,alevel math,olevel math,chem,phy,bio,english,ap course,cs ig,adv math,international student,transferred courses,major,specialization,cgpa,credit hours completed
SIS,American,0,65,76,81,77,84,0,0,0,0,0,BUS ,FINC,3.3,75
UAS,American,84,84,96,90,93,97,0,0,1,0,0,ENG,SDE,2.75,63
NBIS,IG,0,85,85,85,65,85,0,0,0,0,0,ENG,SDE,3.25,66
GHIS,American,0,90,84,0,72,84,0,0,0,0,0,BUS ,BUS,3.4,75
CISE,Canadian,0,64,68,0,0,52,0,0,0,0,0,BUS,MGMT,1.8,48
NBIS,IG,0,75,100,75,0,65,0,0,0,0,3,BUS,BUS,2.5,57
NGIS ,American,97,97,93,96,90,97,0,0,1,0,0,BUS,BUS,3.6,72
MIS,IG,0,65,65,65,55,65,0,0,0,0,0,BUS,BUS,2.7,81
GES,IG,0,75,75,85,0,75,0,0,0,0,3,BUS,BUS,2.5,57
DAIS,American ,0,87,98,94,93,97,0,0,0,0,3,CS,CS,3.25,88
CES,IG,0,100,0,85,85,100,0,1,0,0,0,CS,CS,4,70
MFIS,IG,0,75,0,45,0,65,0,0,0,0,0,BUS,FINC,2,48
12SS,Thanaweya ,0,93,94,86,100,97,0,0,0,1,0,BUS ,BUS,2.4,33
AIS,IG,0,85,85,85,85,75,0,0,0,0,0,ENG,SDE,3.7,60
NSIS,American,96,88,89,81,87,96,0,0,1,0,0,BUS,FINC,3.5,84
NAC ,American,0,69,89,0,77,94,0,0,0,0,0,BUS,MKTG,3.65,72
AIS,American ,0,55,0,65,55,55,0,0,0,0,0,BUS,BUS,1.7,39
GIS,American,99,92,98,97,87,99,0,0,1,0,0,BUS,BUS,2.4,66
AIS,American,0,55,55,0,65,65,0,0,0,0,0,BUS,BUS,1.7,51
SFS,IG,55,85,85,,65,100,0,1,1,0,0,ENG,SDE,3.1,63
BRS,IG,0,100,75,0,85,100,0,0,0,0,0,BUS,ENTS,4.2,75
ICS,American,0,83,0,0,0,92,0,1,0,0,0,BUS,BUS,2.5,69
ICS,American,0,83,0,0,0,92,0,0,0,0,0,BUS,BUS,2.54,69
OLS,American,0,100,100,0,100,94,0,0,0,0,0,BUS,MKTG,4,76
